epoch,accuracy,loss,val_accuracy,val_loss
0,0.49506903,1.592001176327173,0.32478633522987366,7.0168938636779785
1,0.8698225,0.378166935617872,0.49572649598121643,5.357605934143066
2,0.9447732,0.17282822491560698,0.39316239953041077,7.878312587738037
3,0.9408284,0.16966972547845963,0.4188034236431122,5.129082679748535
4,0.9506903,0.15847060119611978,0.41025641560554504,5.856169700622559
5,0.94871795,0.16275401343637436,0.470085471868515,8.256394386291504
6,0.96252465,0.13695975633327073,0.41025641560554504,6.476471900939941
7,0.9605523,0.1515368117383246,0.28205129504203796,29.68234634399414
8,0.9704142,0.08640847522655182,0.4444444477558136,5.436246395111084
9,0.9980276,0.01969250760278141,0.4871794879436493,4.5008745193481445
10,0.99408287,0.023357335659004823,0.49572649598121643,4.024997711181641
11,0.99211043,0.0220538139281495,0.5470085740089417,4.235333442687988
12,0.99211043,0.024440885903552558,0.5384615659713745,3.665226936340332
13,0.99408287,0.01638442731451627,0.4615384638309479,2.2967605590820312
14,0.99605525,0.028924137146496425,0.49572649598121643,4.537352561950684
15,0.99013805,0.02622941343014586,0.4273504316806793,3.745279550552368
16,0.9802761,0.0774307878912083,0.504273533821106,5.029906272888184
17,0.974359,0.0887800066913726,0.41025641560554504,6.86630392074585
18,0.9881657,0.047642968462769095,0.4444444477558136,2.1342973709106445
19,0.9842209,0.03212350795754549,0.45299145579338074,2.268174648284912
20,0.99013805,0.04860110722531113,0.4444444477558136,3.155724048614502
21,0.9802761,0.05828273737586344,0.4615384638309479,2.0424602031707764
22,0.99013805,0.044073752175347924,0.45299145579338074,3.869279384613037
23,0.99408287,0.021872830331046318,0.4871794879436493,3.9855387210845947
24,0.98224854,0.04388841581337991,0.4444444477558136,4.069189071655273
25,0.97633135,0.053963419101412245,0.45299145579338074,3.1835596561431885
26,0.9704142,0.09697929031309291,0.4444444477558136,5.85003137588501
27,0.98224854,0.08004200092610522,0.45299145579338074,4.933982849121094
28,0.99013805,0.03289619849028554,0.49572649598121643,3.98881459236145
29,0.99605525,0.02328376878020574,0.49572649598121643,3.3369812965393066
30,0.9842209,0.06903068299352005,0.4615384638309479,1.876843810081482
31,0.9802761,0.07188178905280385,0.470085471868515,1.9694181680679321
32,0.9861933,0.03585007475483318,0.4615384638309479,2.955697536468506
33,0.9842209,0.05117232300601973,0.5384615659713745,2.1773087978363037
34,0.9842209,0.03849270220118514,0.504273533821106,3.0204107761383057
35,0.99605525,0.010709313844758614,0.49572649598121643,3.7450637817382812
36,0.99605525,0.013236162138605009,0.49572649598121643,4.082528114318848
37,0.9980276,0.005795570003302516,0.5213675498962402,2.908853530883789
38,0.99013805,0.023361164365660426,0.470085471868515,4.932506561279297
39,0.99013805,0.03609255794527586,0.34188035130500793,6.984232425689697
40,0.9802761,0.062436581970444154,0.4871794879436493,3.2870564460754395
41,0.98224854,0.05876781583209825,0.45299145579338074,2.637585163116455
42,0.99013805,0.04339525999358526,0.43589743971824646,1.923816442489624
43,0.99211043,0.0367051187403963,0.4273504316806793,2.3212740421295166
44,0.9980276,0.0104338313899273,0.49572649598121643,3.5904548168182373
45,0.99408287,0.019503556761368963,0.5213675498962402,2.2749080657958984
46,0.99408287,0.024066137453023145,0.4871794879436493,4.372964859008789
47,0.99408287,0.018224500893951345,0.4615384638309479,2.958211898803711
48,0.99605525,0.028648490683199503,0.470085471868515,1.1940524578094482
49,0.99408287,0.02770513444000036,0.5384615659713745,5.300666332244873
50,1.0,0.0033208455006854655,0.504273533821106,4.2822771072387695
51,0.99605525,0.008923422127063855,0.4871794879436493,3.543656826019287
52,0.9980276,0.005795686522726506,0.5213675498962402,2.8467516899108887
53,1.0,0.0030682600917077865,0.4871794879436493,1.8475061655044556
54,0.99605525,0.008753956718158153,0.49572649598121643,2.9758427143096924
55,1.0,0.0022543850077014907,0.504273533821106,2.4226441383361816
56,1.0,0.004186540097181907,0.504273533821106,1.985595703125
57,0.9980276,0.005892236135392053,0.504273533821106,3.7222201824188232
58,1.0,0.0038204674126352577,0.504273533821106,2.1366097927093506
59,1.0,0.0023595961742734544,0.5299145579338074,2.9665462970733643
60,0.9980276,0.006960151848636744,0.5128205418586731,2.1260855197906494
61,0.99605525,0.008686425350560517,0.5299145579338074,2.60771107673645
62,0.9980276,0.006742246237402521,0.5470085740089417,4.108757019042969
63,0.99211043,0.04514200639067387,0.5128205418586731,1.9691030979156494
64,0.9861933,0.05894573388278624,0.38461539149284363,4.257140159606934
65,0.99013805,0.026000906540578253,0.470085471868515,4.95871639251709
66,0.99013805,0.017587364866642585,0.4871794879436493,4.536487579345703
67,0.99211043,0.03820549305027839,0.4017094075679779,7.425223350524902
68,0.9881657,0.037472757921164716,0.5213675498962402,3.154024362564087
69,0.9861933,0.04946681592752147,0.4871794879436493,3.3788013458251953
70,0.99605525,0.009556871384888092,0.49572649598121643,3.5114455223083496
71,0.99211043,0.01567504347781458,0.4444444477558136,3.729665756225586
72,1.0,0.0030548058707851188,0.4273504316806793,4.49255895614624
73,1.0,0.0021475821719008923,0.4871794879436493,3.6837317943573
74,0.9980276,0.006455338283529674,0.45299145579338074,5.040700912475586
75,0.99408287,0.018793545821748782,0.470085471868515,2.995211362838745
76,0.9980276,0.011837192315904927,0.5128205418586731,2.5775961875915527
77,0.99605525,0.02323081913905648,0.5128205418586731,2.0168263912200928
78,0.9881657,0.04761481295175358,0.5641025900840759,2.9219589233398438
79,0.99605525,0.01601251063287934,0.4615384638309479,3.5065205097198486
80,0.99013805,0.0282933062717527,0.5384615659713745,1.0818452835083008
81,0.99605525,0.01329789847719687,0.5811966061592102,3.6950178146362305
82,0.9980276,0.004579990391829717,0.5384615659713745,3.834871530532837
83,0.99408287,0.011567845028555075,0.504273533821106,3.6200811862945557
84,0.99605525,0.009591707501342774,0.5384615659713745,1.2101762294769287
85,0.99013805,0.027532682469777334,0.5213675498962402,2.6153359413146973
86,0.9881657,0.02778794502360474,0.49572649598121643,2.8582985401153564
87,0.99605525,0.014583048296135279,0.49572649598121643,4.554391860961914
88,1.0,0.00038711882569033586,0.45299145579338074,2.92793607711792
89,0.99605525,0.00792638440118162,0.45299145579338074,3.7195518016815186
90,1.0,0.0045843362483091255,0.4871794879436493,3.503408908843994
91,0.99408287,0.01206281146773273,0.41025641560554504,3.2882161140441895
92,0.99408287,0.011522527205692011,0.4444444477558136,2.661223888397217
93,0.9842209,0.0625601157020395,0.470085471868515,3.5909595489501953
94,0.9980276,0.011391377114622873,0.43589743971824646,4.514483451843262
95,0.99211043,0.020773627715372653,0.4273504316806793,4.345767974853516
96,1.0,0.0023750707126430123,0.43589743971824646,2.2514517307281494
97,1.0,0.0037029983440902696,0.47863247990608215,2.294215679168701
98,0.99408287,0.009529248466891304,0.47863247990608215,2.920520782470703
99,0.99605525,0.006088697267712622,0.38461539149284363,4.202591896057129
